alpha,attack_risk,beta,sigma_direct_pld,sigma_fdp_envelope,sigma_eps_delta
0.001,0.1,0.85,0.9764398193359373,1.09375,1.6002223968505858
0.001,0.3,0.6499999999999999,0.7916882324218748,0.9375,1.4411666870117186
0.001,0.5,0.44999999999999996,0.6959588623046874,0.8984375,1.373739242553711
0.001,0.7,0.25,0.6179119873046873,0.87890625,1.332719612121582
0.001,0.9,0.04999999999999993,0.5160852050781248,0.625,1.303876495361328
0.01,0.1,0.85,1.4221606445312496,1.875,2.531573486328125
0.01,0.3,0.6499999999999999,1.0032684326171872,1.171875,2.049383544921875
0.01,0.5,0.44999999999999996,0.835589599609375,1.0546875,1.8749549865722657
0.01,0.7,0.25,0.7160803222656249,1.015625,1.7763252258300783
0.01,0.9,0.04999999999999993,0.5764495849609373,0.625,1.7102676391601563
0.05,0.1,0.85,3.433087158203125,5.0,5.430801391601563
0.05,0.3,0.6499999999999999,1.4386236572265623,1.875,3.31817626953125
0.05,0.5,0.44999999999999996,1.0654620361328124,1.328125,2.7921508789062495
0.05,0.7,0.25,0.8569305419921874,1.2109375,2.531573486328125
0.05,0.9,0.04999999999999993,0.652667236328125,0.625,2.3696258544921873
0.1,0.1,0.85,9.999390258789063,10,13.302308654785156
0.1,0.3,0.6499999999999999,2.0343408203125,2.5,4.839631652832033
0.1,0.5,0.44999999999999996,1.2910662841796872,1.5625,3.710260009765625
0.1,0.7,0.25,0.9733911132812498,1.328125,3.2225906372070314
0.1,0.9,0.04999999999999993,0.7142510986328124,1.25,2.404328918457032
